,basin,NSE,RMSE,KGE,Pearson-r,Bias
27,220,0.9415743127465248,0.4100791858754577,0.9509673633163431,0.9746391885582653,0.15369695
28,221,0.9384317584335804,0.48599141119306377,0.9314595351483,0.9754700660701493,0.21570134
29,222,0.9437790177762508,0.5479520817710581,0.9553130711645864,0.9750801234685527,0.19305025
30,223,0.9088718220591545,0.6331901600738248,0.9467299556341029,0.9684173935264295,0.34281287
31,225,0.9470155388116837,0.6060990037368318,0.9672068555531749,0.976665175249483,0.21230584
32,226,0.9342174902558327,0.6967036870614383,0.9602613363104224,0.9670017145028684,-0.07361957
33,23,0.9719293713569641,0.5937247772882654,0.959099188005618,0.9917127566032831,0.3756235
34,230,0.9654591977596283,0.8094746679261935,0.966349963730628,0.9830276921157078,-0.120951556
35,233,0.9760168921202421,0.5590150484830133,0.966872373300069,0.9881845318466996,0.042410985
36,234,0.9635049849748611,0.5925310824084011,0.9523913781287661,0.9836907577270513,-0.18245208
37,236,0.9457564204931259,0.5908876491037639,0.9712006379263421,0.9732190194777398,-0.0041881264
38,237,0.9412146806716919,0.5998132464718345,0.9610838177809036,0.9712352385649274,0.11220258
39,239,0.9332717508077621,0.6609300671603655,0.9301552652031758,0.9689638660871702,-0.17692561
40,241,0.9785921759903431,0.6732896284005694,0.9661672938118675,0.9898132401986811,-0.12288407
41,242,0.9681202918291092,0.4861966150637917,0.9807831797024683,0.9839553811543627,0.011334446
42,245,0.9368807747960091,0.49612129315187836,0.95452281254672,0.9681155385464311,0.03782575
43,252,0.9270663484930992,0.6318606057871636,0.9296409566464948,0.9667255207625399,0.19461697
44,254,0.9756512716412544,0.6043700555482763,0.9665944606925061,0.988089236432154,0.0700572
45,255,0.9762714393436909,0.5266438678844768,0.9471801681058609,0.9889215502526786,0.024594959
46,256,0.9753061663359404,0.58936745316173,0.9678000998770178,0.9878001362645692,0.045227695
47,267,0.9792198017239571,0.4941751370044464,0.9799876188754711,0.9900664613531356,-0.108737595
48,274,0.9747255574911833,0.6609304955293942,0.9190537764166369,0.9897830185334855,-0.0264716
49,276,0.9772521927952766,0.5103255956199391,0.9709834669926631,0.9890258844187915,0.09209499
50,277,0.9634700268507004,0.6034880696644764,0.9299621754058668,0.984121241012734,0.1611556
51,279,0.9890651479363441,0.47284031271206717,0.9772259128807005,0.9951025790233773,0.14875294
52,28,0.9886834379285574,0.5811909748174117,0.9520675335708103,0.995330458101287,-0.07500933
53,280,0.9820670820772648,0.4139192441324116,0.9816605881102829,0.991279938887027,0.072630055
54,283,0.9790675416588783,0.5026276209074391,0.9760684546494792,0.9902244062923584,0.13302682
55,285,0.9710523951798677,0.6306764083414711,0.9696015637665816,0.985958893942338,0.11614302
56,286,0.9865507483482361,0.5451312466171432,0.9674361448712535,0.994223570301396,0.18520229
57,29,0.9800406079739332,0.5724253773259983,0.9399842533634449,0.9919398221058653,0.15522529
58,291,0.9785857610404491,0.5232001663313465,0.9708152177904086,0.989386145294147,0.018920872
59,292,0.989542712457478,0.47166828275994527,0.9809428908477378,0.9948794816060852,0.042053103
60,296,0.9839307963848114,0.450349446223145,0.9875288487953601,0.9921401570057694,0.045026198
61,298,0.9590300731360912,0.7636927921328152,0.9598957215633488,0.9802149216266438,0.1569891
62,305,0.9887485932558775,0.4201359757496677,0.988570177327996,0.9945110749992472,0.06902241
63,306,0.9814340490847826,0.6321300782974105,0.9707013490639776,0.9909137517862613,0.05506891
64,307,0.9400972872972488,0.7772125823571604,0.9135250896000364,0.9716683232925307,0.11579564
65,309,0.9683864824473858,0.6748918844104451,0.9421199180711848,0.9850993356105304,-0.07573297
66,310,0.9734974931925535,0.7665223682098481,0.9553001242007708,0.9877685061817733,0.17871466
67,315,0.975965216755867,0.5217198329661812,0.9586503066521995,0.9883636217452978,0.037349056
68,319,0.957784004509449,0.7341255007650705,0.9058069584640939,0.9815471684755596,-0.052182283
69,32,0.9306469485163689,0.5664270594490266,0.9338909538233316,0.9791434666479795,0.35905465
70,321,0.9711250029504299,0.7070253698620838,0.9339967529780467,0.9869426116936764,0.07297114
71,323,0.9614101722836494,0.805235777794758,0.9072428625223493,0.9856076945263152,-0.2785458
72,324,0.8648573756217957,1.596280575954553,0.8753782396133315,0.93583804065091,0.42832068
73,326,0.9396872818470001,0.9955023112976741,0.8964568584060267,0.9725561883055329,-0.13235986
74,328,0.9746215343475342,0.5543398775244686,0.9477502738779419,0.9880030413591947,0.016254822
75,34,0.981001352891326,0.4955009914074554,0.989101777308766,0.990603431464081,0.053556688
76,4,0.9799570813775063,0.6051659349788878,0.9625108783638225,0.9906572635933013,0.121360965
77,43,0.9642925150692463,0.42429986533001685,0.9683937234458508,0.9849290530775348,0.17013621
78,44,0.9221660494804382,0.4912656446445804,0.9331220991149785,0.9655772412252988,0.07714739
79,45,0.9428518414497375,0.5311574574817179,0.9590169589679942,0.9748975740658633,0.18731037
80,46,0.8793028071522713,0.6661435449087182,0.8963543718362514,0.9757752982488679,0.51315844
81,47,0.9261745512485504,0.4597275581255084,0.9462589992771306,0.9771149014253222,0.28397062
82,49,0.948110356926918,0.8584514163249827,0.8956811112052312,0.9818148480323631,-0.3663783
83,51,0.965293999761343,0.6799290107388547,0.9805499830631156,0.982966352590033,0.089528926
84,53,0.9599543660879135,0.7246663772906463,0.9294601383010279,0.9822747529279311,-0.18212321
85,55,0.9615736231207848,0.6065047230391171,0.9798355694194526,0.9808847301746991,-0.056135703
86,56,0.8982478752732277,0.8825918951629272,0.8738531901004682,0.9791428108364255,0.57374907
87,58,0.9607866629958153,0.5936276159142511,0.9691701528269928,0.9827317217408424,0.19279258
88,59,0.9556708931922913,0.5681858387718132,0.9691905813048437,0.9812966218943363,0.21538545
89,6,0.9767129700630903,0.4846337150476897,0.9744508470138237,0.9894113686983413,0.14843293
90,60,0.9530344754457474,0.5722738792683426,0.9545923232675211,0.981983837477268,0.24488455
91,65,0.915459394454956,0.5821457820571451,0.9071451375052978,0.9763017204770577,0.3278432
