,basin,RMSE,KGE,Pearson-r,NSE,Num_obs,Bias
70,321,0.11759359014070925,-1.1936407014296218,0.2343902102129276,-0.6236361265182495,361.0,0.0743517205119133
71,323,0.17203486658776426,-0.4218393282480992,-0.17703135572493,-0.11318469047546387,240.0,-0.0028346439357846975
72,324,0.31403805604389023,0.3843388946848978,0.7367971398145826,0.27652400732040405,781.0,0.1845259964466095
73,326,0.3477404845983791,0.015821479465917387,0.6080677001380006,-0.07029259204864502,298.0,0.2191191017627716
74,328,0.05972047351551364,-3.9119524660500176,-0.2965238390352683,-34.54530334472656,511.0,0.03308584541082382
75,34,0.1455217329189518,-3.31181252620578,-0.16545488692054974,-112.75125885009766,271.0,0.12901096045970917
76,4,0.2591581771191987,-4.263128839229777,0.07772705246976248,-374.8866271972656,180.0,0.2516162097454071
77,43,0.16415618310734903,0.6789086289409794,0.8435584103976496,0.5437775552272797,181.0,0.09910515695810318
78,44,,,,,,
79,45,0.21878688365067256,0.3487485367755878,0.531271885767299,0.2750309705734253,254.0,0.020665064454078674
80,46,0.14285892765918476,0.5405868712287123,0.6844381620975608,0.4666615128517151,181.0,0.0076496112160384655
81,47,,,,,,
82,49,,,,,,
83,51,0.16274220682638216,-3.836608240256158,-0.03020998690345244,-2.321195125579834,219.0,0.13158269226551056
84,53,,,,,,
85,55,,,,,,
86,56,,,,,,
87,58,0.10653258604373984,-0.4268366217335473,0.6377348055546377,-3.3800816535949707,181.0,0.09741219133138657
88,59,,,,,,
89,6,0.09187248342499356,-8.3582302634088,-0.253399600097463,-259.33197021484375,90.0,0.08644167333841324
90,60,,,,,,
91,65,,,,,,
92,66,0.4203924514285631,0.18473810301540272,0.8531197203817098,0.3220459818840027,91.0,-0.18554873764514923
93,7,0.25382918141885785,0.6995690401860175,0.7975112551157085,0.6193194687366486,180.0,0.05317145586013794
94,73,0.2572650588070188,-0.39762130980009625,0.197313612984137,-0.20914602279663086,632.0,0.09273339807987213
95,77,0.2083014980470152,0.16576914129613085,0.8377857071231573,0.5219691693782806,632.0,0.12626565992832184
96,83,0.1758550541964226,-2.1559154645695826,0.4839943449201243,-2.3615376949310303,632.0,0.13732434809207916
97,86,0.21488188491840218,0.057214725371649844,0.8816011204006939,0.6605100631713867,517.0,0.10317698866128922
98,9,0.3447463594539034,-0.22085487391413405,0.07257635112544361,-0.48208940029144287,180.0,-0.18490315973758698
99,92,0.06784611866798997,-23.468737602020525,0.10218857410724191,-669.6817626953125,90.0,0.01364749763160944
