basin,NSE,RMSE,KGE
296,0.993557131383568,0.3849850140478854,0.9861509320527309
298,0.9772477522492409,0.6713609725177074,0.969677230083453
305,0.9933444922789931,0.39116345487369625,0.9864405493919022
306,0.9935664413496852,0.5111566907518491,0.9890025862677094
307,0.9838733617216349,0.5816254449199497,0.9658159390152621
309,0.9917246652767062,0.486356987154194,0.9697656352779517
310,0.9927424271591008,0.5110378831717387,0.9771074604667211
315,0.9930540230125189,0.4243295753112319,0.9814414918183223
319,0.9866604404523969,0.5950092213981975,0.9618924528916803
32,0.9809983652085066,0.4168813589431781,0.9178956679070205
321,0.991766694933176,0.5134412878898624,0.9742386660964798
323,0.9912733593955636,0.5393133823565716,0.9536489402281465
324,0.9620460420846939,1.0620676170633967,0.9443610416947461
326,0.9766853302717209,0.8476068860284217,0.9398923303387394
328,0.9925142829306424,0.39116953089312445,0.9778105258961924
34,0.9950361712835729,0.3829387534450851,0.9756853891184514
4,0.9932124488987029,0.5054940041979782,0.9410708709737979
43,0.9895108267664909,0.33975597870501634,0.9604376479143041
44,0.9221660494804382,0.4912656446445804,0.9331220991149785
45,0.982235549017787,0.41055944697533664,0.95333915398802
46,0.9693546984344721,0.4719319744956158,0.8714434044574646
47,0.935062974691391,0.456370046577748,0.9469136448123591
49,0.948110356926918,0.8584514163249827,0.8956811112052312
51,0.9909295169636607,0.5072859455023633,0.9679167294632471
53,0.9599543660879135,0.7246663772906463,0.9294601383010279
55,0.9638923183083534,0.6042999800125768,0.9807507928229494
56,0.90400829911232,0.8799440487500692,0.8736917063847209
58,0.9908193806186318,0.44837610575462783,0.9603953681927218
59,0.9556708931922913,0.5681858387718132,0.9691905813048437
6,0.9940939620137215,0.3916359788796748,0.9651753806213159
60,0.9530344754457474,0.5722738792683426,0.9545923232675211
65,0.915459394454956,0.5821457820571451,0.9071451375052978
66,0.9721435755491257,0.589586087974161,0.9122430851343425
7,0.9922404987737536,0.35957940135204314,0.9764597866176453
73,0.9929731455631554,0.4487124367827776,0.9816709368265317
77,0.9934462704695761,0.49596808937119613,0.9760678037833309
83,0.9933127034455538,0.43834295127503803,0.971726533743984
86,0.9941935734823346,0.4379432680608416,0.980110094935072
9,0.9944194643758237,0.4519029284456,0.9808319314549723
92,0.9942641672678292,0.38886432579593133,0.9667900154128621
